APPID,TypeOfViolence,VictimType,Gender,Indigenous,AgeAtHappenedTo,Granted
12480,Homicide - Other,Related,M,No,86.12,15655.8
12996,Assault,Primary,M,No,27.8,8650
13873,Homicide - Other,Related,F,Aboriginal,10.32,10000
13930,Sexual Offences,Primary,F,Aboriginal,14.03,10500
7137,Assault,Yet To Be Determined,M,Aboriginal,26.63,0
7187,Sexual Offences,Primary,F,No,31.85,7000
9059,Assault,Primary,F,No,34.46,16199.22
10247,Homicide - Other,Yet To Be Determined,F,No,46.5,0
12603,Assault,Yet To Be Determined,M,No,33.03,0
13130,Sexual Offences,Not Eligible,F,No,43.78,0
13596,Assault,Primary,M,Aboriginal,22.74,30006
13766,Homicide - Other,Related,F,Aboriginal,54,10832.4
14116,Domestic Violence,Primary,F,No,46.27,5750
14150,Homicide - DV,Funeral Only,F,No,69.28,5237.69
14920,Homicide - Other,Not Eligible,F,No,54.3,0
39234,Assault,Primary,F,Aboriginal,24.88,5300
39968,Assault,Primary,M,No,36.92,31429.24
8339,Assault,Primary,M,No,38.67,2344.15
9810,Homicide - Other,Related,F,No,19.83,10000
9891,Homicide - Other,Funeral Only,F,No,62.45,5690.5
9942,Sexual Offences,Yet To Be Determined,F,No,20.05,0
9958,Sexual Offences,Not Eligible,F,No,44.37,0
10793,Robbery,Primary,F,No,27.5,2500
12883,Homicide - Other,Related,F,No,21.72,15856.71
12935,Assault,Primary,M,No,35.56,4610.64
13268,Assault,Primary,M,Unknown,46.77,22500
13434,Sexual Offences,Primary,F,No,13.25,10000
13501,Sexual Offences,Primary,F,No,14.34,6922.72
13651,Homicide - MVA,Not Eligible,F,No,31.36,0
14055,Assault,Primary,M,No,74.39,2366.9
7685,Assault,Primary,M,No,46.27,15632.5
8656,Sexual Offences,Primary,F,No,15.06,1750
9624,Assault,Primary,F,No,34.77,2000
11295,Assault,Primary,F,No,41.12,5590.82
12397,Robbery,Not Eligible,F,No,37.56,0
12700,Assault,Yet To Be Determined,M,No,39.22,0
12765,Assault,Primary,M,No,30.08,7500
13050,Assault,Yet To Be Determined,F,No,29.77,0
13199,Assault,Yet To Be Determined,M,No,40.87,0
13286,Assault,Primary,M,No,22.97,18146.08
13719,Homicide - Other,Related,F,No,64.83,10545.41
39707,Assault,Primary,M,No,24.16,12219.23
40176,Domestic Violence,Not Eligible,M,Unknown,47.44,0
6792,Homicide - Other,Related,F,Unknown,46.88,16000
8327,Domestic Violence,Primary,F,Unknown,24.04,22630
8812,Assault,Primary,M,No,18.97,15982.13
9982,Assault,Primary,M,No,18.78,3211.85
10168,Sexual Offences,Primary,F,No,13.78,3410
11639,Robbery,Primary,F,No,44.22,2400
12205,Sexual Offences,Primary,F,No,23.37,10738.8
14530,Homicide - Other,Related,F,No,54.91,268.43
14680,Assault,Primary,M,No,21.49,900
14963,Assault,Primary,M,No,31.93,7614.14
39115,Assault,Primary,M,Unknown,39.52,1300
39815,Sexual Offences,Primary,M,No,21.85,8000
40935,Homicide - Other,Yet To Be Determined,M,Unknown,49.02,0
7410,Sexual Offences,Primary,F,No,9.86,12053.57
8027,Assault,Not Eligible,F,Unknown,41.44,0
10988,Sexual Offences,Primary,M,No,19.9,500
11235,Homicide - Other,Related,F,No,56.29,15014.94
11871,Assault,Primary,M,No,35.61,9170
12625,Homicide - Other,Not Eligible,M,No,35.68,0
12640,Homicide - Other,Not Eligible,F,No,34.26,0
12974,Assault,Primary,M,No,27.12,1000
39847,Assault,Yet To Be Determined,M,Aboriginal and Torres Strait,27.31,0
40018,Sexual Offences,Primary,F,No,9.02,18524.08
43507,Assault,Primary,M,No,27.22,2714.8
43894,Homicide - Other,Related,F,No,62.81,5000
44563,Homicide - Other,Witness Secondary,M,No,24.76,0
6586,Homicide - Other,Related,M,No,41.06,9393.51
7606,Assault,Primary,M,No,51.8,3520
8592,Assault,Primary,M,No,21.79,3216.05
9110,Assault,Yet To Be Determined,M,No,10.2,0
9126,Assault,Primary,M,Unknown,62.5,5952.44
9646,Homicide - Other,Related,F,Unknown,68.79,16000
10880,Assault,Primary,F,No,24.02,27937.57
11952,Assault,Primary,M,No,50.5,4664
12043,Assault,Primary,M,Aboriginal,49.21,3828
12861,Other,Yet To Be Determined,F,Unknown,41.2,0
32733,Assault,Yet To Be Determined,M,No,36.76,0
39885,Homicide - Other,Related,F,No,58.39,16000
42475,Domestic Violence,Primary,F,No,24.81,1503
6756,Assault,Yet To Be Determined,M,Aboriginal,37.06,0
8494,Homicide - Other,Yet To Be Determined,F,No,46.82,0
10128,Homicide - Other,Related,M,No,7.4,10000
11166,Homicide - Other,Related,F,No,25.42,605.57
11607,Robbery,Primary,M,No,17.71,2400
11625,Robbery,Primary,M,No,44.97,4080
14315,Homicide - Other,Related,F,Aboriginal,0.93,10000
14660,Robbery,Yet To Be Determined,M,No,25.27,0
40053,Assault,Primary,F,No,30.24,1355.96
41089,Assault,Primary,M,No,40.63,1972.95
42868,Homicide - Other,Related,F,No,38.25,16000
44138,Homicide - MVA,Related,F,No,45.39,11108.8
45828,Homicide - Other,Related,M,No,53.89,16976.5
7514,Homicide - Other,Related,M,No,57.01,16977.2
7880,Assault,Primary,F,No,23.72,1250
8066,Homicide - Other,Related,M,Unknown,64.21,5829.85
8482,Assault,Primary,M,Unknown,37.58,6595
9797,Homicide - Other,Related,F,No,46.17,10000
9870,Assault,Primary,M,No,43.52,3400
12460,Assault,Primary,M,No,21.81,1332
12571,Domestic Violence,Yet To Be Determined,F,No,46.6,0
12730,Sexual Offences,Primary,F,No,15.68,10000
14268,Assault,Primary,M,No,53.97,2500
14284,Homicide - Other,Related,M,Aboriginal,2.27,10000
39425,Other,Not Eligible,F,No,32.47,0
40804,Homicide - Other,Related,M,No,34.73,16206.7
43422,Sexual Offences,Not Eligible,F,No,38.63,0
46180,Domestic Violence,Yet To Be Determined,F,No,25.53,0
46487,Sexual Offences,Primary,F,No,29.12,3072.85
47566,Homicide - Other,Related,M,No,55.15,17000.67
48977,Homicide - Other,Related,F,Aboriginal and Torres Strait,7.92,1876.86
49011,Homicide - Other,Related,F,Unknown,4.81,1876.86
49029,Homicide - Other,Related,M,Aboriginal and Torres Strait,1.61,1876.86
49622,Homicide - Other,Related,F,No,38.03,12562.96
50083,Assault,Primary,M,No,24.69,15628.03
50215,Sexual Offences,Primary,F,Aboriginal,12.85,10000
50399,Motor Vehicle Accident,Not Eligible,F,Aboriginal,38.38,0
51174,Stalking/Threats,Primary,M,No,0.53,1300
52796,Assault,Primary,M,No,22.72,2639
9042,Assault,Primary,M,Unknown,25.11,8041.98
11191,Assault,Primary,M,No,37.98,25237.05
12518,Homicide - Other,Related,F,No,84.96,10000
13547,Assault,Primary,M,No,28.48,5000
13840,Assault,Primary,M,Unknown,24.77,10084.6
13858,Homicide - Other,Related,F,Aboriginal,11.67,10000
13967,Assault,Primary,F,Unknown,22.47,4050
39167,Assault,Primary,F,No,40.12,3375.86
39326,Sexual Offences,Not Eligible,F,Aboriginal,10.27,0
39526,Sexual Offences,Primary,F,No,17.73,10000
41852,Assault,Primary,M,No,20.92,2780
47132,Sexual Offences,Primary,M,No,17.16,11862.24
48888,Sexual Offences,Primary,F,No,10.97,12889.85
6825,Assault,Primary,F,No,28.57,2694.9
6858,Sexual Offences,Primary,F,Aboriginal,15.67,3693.8
8731,Assault,Primary,M,No,57.87,651
10435,Assault,Primary,M,No,15.02,3185
11990,Assault,Primary,F,No,43.05,550
12373,Assault,Primary,M,No,55.35,1100
12559,Homicide - Other,Related,F,No,54.46,10000
13375,Sexual Offences,Primary,M,Aboriginal,13.71,10080
39196,Domestic Violence,Primary,F,No,38.08,18141.59
39783,Stalking/Threats,Not Eligible,M,Unknown,65.48,0
40302,Assault,Primary,M,No,40.25,16092.56
40536,Assault,Primary,F,No,50.33,3368.2
44210,Sexual Offences,Primary,F,No,14.84,8046.33
44647,Assault,Primary,M,No,19.72,1136
45798,Assault,Primary,F,No,46.46,4005
46402,Homicide - Other,Yet To Be Determined,F,Aboriginal,46.14,0
47270,Assault,Primary,M,No,30.92,1823
47652,Homicide - Other,Related,M,Aboriginal,36.27,10000
47720,Homicide - Other,Related,F,No,59.02,5000
48956,Sexual Offences,Parent Secondary,M,No,52.52,308.25
49774,Sexual Offences,Primary,F,No,13.55,10000
49976,Sexual Offences,Yet To Be Determined,M,Unknown,11.4,0
50162,Homicide - Other,Yet To Be Determined,F,Aboriginal,41.89,0
52866,Homicide - Other,Yet To Be Determined,M,Aboriginal,59.39,0
52920,Assault,Primary,M,No,35.06,19519.52
54892,Burglary,Yet To Be Determined,M,Aboriginal,10.05,0
14450,Homicide - Other,Related,M,No,55.18,16222.5
39409,Assault,Not Eligible,M,No,54.44,0
39475,Assault,Primary,M,No,49.3,0
40202,Homicide - Other,Related,F,Aboriginal,42.74,30000
40236,Assault,Primary,M,Unknown,23.92,4270.7
40672,Assault,Primary,M,No,37.21,1300
41883,Assault,Not Eligible,M,No,24.63,0
42769,Assault,Primary,M,Aboriginal,25.82,1100
42828,Homicide - MVA,Related,F,No,41.65,10000
43487,Homicide - Other,Yet To Be Determined,F,No,47.5,0
43537,Assault,Primary,F,No,27.5,1000
43630,Assault,Primary,M,No,20.51,21806.9
45893,Assault,Primary,M,Aboriginal,38.78,1330
40627,Assault,Primary,F,No,29.47,14899.34
7218,Homicide - Other,Related,M,No,57.5,14579.25
8052,Homicide - Other,Related,F,Aboriginal,39.63,10500.01
8687,Robbery,Yet To Be Determined,M,Unknown,47.58,0
9392,Homicide - Other,Related,M,No,12.1,20000
11444,Homicide - MVA,Yet To Be Determined,F,No,19.08,0
13420,Motor Vehicle Accident,Primary,F,No,22.36,0
13986,Assault,Primary,M,Aboriginal,41.5,9090
40711,Sexual Offences,Primary,F,No,15.73,10000
41263,Homicide - Other,Related,F,No,50.63,37840
42232,Sexual Offences,Primary,M,Aboriginal,9.6,10000
45571,Assault,Primary,M,No,32.47,2965.47
45774,Assault,Primary,F,Aboriginal and Torres Strait,20.53,10090
49680,Assault,Yet To Be Determined,M,No,40.36,0
40731,Assault,Yet To Be Determined,M,Unknown,27.1,0
41449,Homicide - Other,Related,F,No,47.07,16000
41467,Assault,Primary,M,No,27.87,203.25
41815,Homicide - Other,Related,F,Aboriginal,45.71,440
42408,Robbery,Primary,F,No,37.63,9860.99
44232,Assault,Primary,M,No,39.01,14190.25
44350,Domestic Violence,Primary,F,Aboriginal,38.03,1554.95
45600,Homicide - Other,Related,M,Aboriginal,31.42,10000
48637,Assault,Not Eligible,F,No,56.67,0
49080,Assault,Yet To Be Determined,M,No,23.5,0
51416,Sexual Offences,Primary,F,No,23.92,11145.17
52647,Assault,Primary,M,No,57.77,4357.38
42057,Homicide - Other,Related,M,Unknown,56.56,1975.12
43361,Assault,Primary,F,No,20.76,6206.48
43606,Assault,Yet To Be Determined,F,Unknown,5.42,0
43849,Assault,Primary,M,No,33.84,2380.15
46573,Assault,Yet To Be Determined,M,No,52.63,0
48545,Assault,Primary,M,No,26.53,1185
56422,Assault,Primary,M,No,31.9,6293.61
57567,Homicide - Other,Related,F,No,55.22,12883.1
57778,Assault,Primary,F,No,46.41,3879.5
57819,Assault,Primary,M,No,28.96,5343.9
60943,Assault,Primary,M,No,55.68,23185
61034,Assault,Not Eligible,F,Aboriginal,33.21,0
64262,Sexual Offences,Primary,F,No,15.53,10000
47479,Burglary,Not Eligible,M,No,35.02,0
12531,Sexual Offences,Not Eligible,F,No,46.78,0
12918,Assault,Yet To Be Determined,M,Torres Strait Islander,26.62,0
13166,Assault,Primary,M,No,36.46,23864.05
14720,Assault,Primary,M,Unknown,41.85,1000
40858,Assault,Yet To Be Determined,M,No,26.27,0
41796,Assault,Primary,M,Aboriginal,25.92,4817.62
42663,Homicide - Other,Related,F,No,41.93,866
42680,Assault,Primary,M,No,35.35,38898.15
43385,Sexual Offences,Yet To Be Determined,M,No,12.85,0
48112,Homicide - MVA,Yet To Be Determined,F,Torres Strait Islander,13.61,0
50117,Assault,Primary,M,No,28.92,5858.65
50235,Homicide - Other,Yet To Be Determined,M,Aboriginal,49.62,0
52706,Assault,Primary,M,Aboriginal,20.09,1200
40254,Homicide - Other,Related,M,Unknown,70.73,10000
40890,Domestic Violence,Primary,F,No,48.78,500
47174,Assault,Yet To Be Determined,F,No,21.81,0
47515,Assault,Primary,M,No,35.65,18360
48408,Homicide - Other,Related,F,Unknown,50.99,10998.52
48610,Sexual Offences,Primary,F,No,15.61,10120
48944,Sexual Offences,Parent Secondary,F,Unknown,31.19,0
49737,Homicide - Other,Yet To Be Determined,F,Unknown,29.81,0
50198,Homicide - Other,Yet To Be Determined,F,Aboriginal,79.51,0
51016,Assault,Primary,M,No,21.8,1693.84
51375,Homicide - Other,Related,M,No,31.59,10000
53883,Assault,Primary,F,Aboriginal,15.41,8000
54926,Homicide - Other,Related,F,No,58.67,11195.1
43319,Sexual Offences,Primary,M,No,12.01,10000
44264,Assault,Primary,M,No,37.88,23690
44314,Robbery,Primary,M,No,2.88,2400
46420,Assault,Primary,M,No,49.24,10923.85
47063,Robbery,Primary,M,No,19.51,2400
47206,Assault,Primary,F,No,38.31,1990
47801,Sexual Offences,Primary,F,No,9.28,8500
48176,Homicide - MVA,Not Eligible,F,Torres Strait Islander,35.12,0
50539,Assault,Primary,M,No,34.65,14821.42
50589,Assault,Yet To Be Determined,M,No,10.18,0
52163,Assault,Primary,M,No,37.94,5000
58252,Assault,Primary,F,No,33.68,8579.07
61010,Assault,Primary,M,No,39.6,1300
61630,Burglary,Primary,F,Aboriginal,49.17,4450
52370,Homicide - Other,Related,F,No,59.67,2575.37
53856,Assault,Primary,M,No,17.98,3749
55160,Sexual Offences,Primary,F,Unknown,18.55,15051.24
55830,Sexual Offences,Primary,F,No,32.19,9896.4
56975,Homicide - Other,Related,F,No,67.16,16000
57009,Assault,Primary,M,No,36.79,2669.98
59701,Assault,Primary,F,Unknown,53.78,2880.82
61796,Homicide - Other,Related,F,No,59.84,10273
62146,Assault,Primary,F,No,41.39,850
64720,Homicide - Other,Related,M,Unknown,38.52,1464.42
64963,Assault,Primary,M,No,32.94,14177.65
39599,Assault,Primary,M,No,20.07,23169.48
39998,Sexual Offences,Primary,F,Aboriginal,29.69,6000
40599,Assault,Primary,M,No,23.67,1300
44329,Robbery,Primary,M,Unknown,23.15,2400
44679,Assault,Primary,M,No,21.65,1491.74
45531,Sexual Offences,Primary,M,No,11.98,3721.42
46502,Sexual Offences,Primary,F,No,15.06,15775.5
50628,Assault,Yet To Be Determined,F,No,46.9,0
50643,Sexual Offences,Primary,M,No,18.32,6018.8
53705,Homicide - MVA,Related,F,Aboriginal and Torres Strait,53.78,10990
58450,Assault,Yet To Be Determined,M,No,41.4,0
61592,Sexual Offences,Primary,F,No,39.71,12049
62041,Homicide - Other,Related,F,No,34.8,10000
50568,Assault,Primary,F,No,27.77,16220.68
52759,Homicide - Other,Related,M,No,56.58,15855
14640,Assault,Primary,M,No,29.32,24226.03
14821,Homicide - Other,Related,M,No,12.96,14500
41029,Assault,Primary,M,No,18.5,27968.01
41528,Homicide - Other,Yet To Be Determined,F,No,52.61,0
41545,Assault,Primary,M,No,49.16,3030.7
42748,Assault,Primary,M,No,44.37,1510.4
43348,Assault,Primary,F,No,36.79,1757.53
43450,Homicide - Other,Related,F,Aboriginal,61.27,5000
45439,Homicide - Other,Funeral Only,M,No,47.42,4817.07
45457,Assault,Primary,M,No,49.34,13522.64
46140,Sexual Offences,Primary,F,No,11.23,12256.86
47762,Domestic Violence,Primary,F,No,50.18,2451
50954,Assault,Primary,F,No,30.05,3135
41129,Assault,Primary,F,Aboriginal,36.74,1300
41327,Assault,Primary,M,No,52.09,6663.79
45489,Domestic Violence,Yet To Be Determined,F,No,42.6,0
45675,Assault,Primary,M,No,15.75,1854.8
47580,Assault,Primary,M,No,47.06,3564.29
48081,Homicide - Other,Related,F,No,45.46,20004.7
48196,Assault,Not Eligible,M,No,31.3,0
51307,Assault,Primary,M,No,29.34,5307.74
52241,Sexual Offences,Primary,F,No,14.33,3500
53294,Assault,Primary,M,No,29.36,2132.06
54783,Assault,Primary,M,No,27.72,21406.63
41488,Homicide - Other,Related,M,Unknown,28.89,10000
44580,Assault,Primary,M,No,44.96,2500
45731,Homicide - Other,Yet To Be Determined,F,No,24.39,0
47186,Assault,Primary,M,No,28.96,1999.52
47671,Assault,Yet To Be Determined,M,No,26.99,0
48875,Assault,Primary,M,No,45.01,1050
49608,Assault,Primary,M,Aboriginal,17.91,4000
52201,Assault,Primary,M,No,22.31,22035.55
54839,Assault,Primary,M,No,16.55,1115
55426,Assault,Primary,F,Aboriginal,33.67,8000
58351,Sexual Offences,Primary,F,No,20.3,10000
58668,Domestic Violence,Primary,M,Aboriginal,43.65,1090
60537,Homicide - Other,Related,F,No,38.04,10417
65522,Homicide - Other,Related,M,No,14.54,10000
66310,Sexual Offences,Primary,F,No,21.39,9595
52940,Assault,Parent Secondary,F,No,25.82,847.6
53165,Assault,Primary,M,No,16.16,3180.12
53324,Stalking/Threats,Primary,M,Unknown,63.79,1500
55912,Assault,Primary,M,No,44.5,2627
56039,Assault,Primary,F,No,31.94,1300
56355,Sexual Offences,Yet To Be Determined,F,No,27.24,0
57743,Homicide - Other,Related,M,No,56.64,15998.96
57854,Homicide - Other,Yet To Be Determined,F,No,62.84,0
62482,Stalking/Threats,Primary,F,Unknown,34.05,3000
63259,Assault,Not Eligible,M,Aboriginal,27.38,0
64747,Assault,Primary,M,No,15.5,9718.94
64997,Assault,Primary,M,No,45.95,2765
65783,Homicide - Other,Related,F,No,71.74,5000
62648,Homicide - Other,Yet To Be Determined,M,No,56.87,0
65056,Homicide - Other,Yet To Be Determined,M,Unknown,29.28,0
67705,Sexual Offences,Primary,M,No,15.92,35094.05
70761,Homicide - Other,Related,M,No,45.84,22604.54
70806,Homicide - Other,Related,M,No,1.92,16000
71692,Homicide - Other,Primary,M,No,44.72,31639.2
72340,Assault,Yet To Be Determined,M,No,57.49,0
75627,Assault,Primary,M,Aboriginal,39.64,2940
75784,Assault,Primary,M,No,39.51,19920.49
78174,Assault,Primary,M,No,39.39,30358.4
78226,Assault,Primary,M,Unknown,30.21,5667.89
65207,Assault,Primary,M,No,54.34,3500
57946,Assault,Not Eligible,F,Aboriginal,18.59,0
58271,Domestic Violence,Primary,M,Aboriginal,38.67,2792.1
60920,Assault,Yet To Be Determined,M,No,53.89,0
60995,Assault,Primary,F,No,23.75,12507.25
61695,Homicide - Other,Related,F,Unknown,0,2688.09
63276,Robbery,Yet To Be Determined,F,Unknown,50.45,0
65959,Homicide - Other,Related,F,No,44.55,10000
67779,Homicide - Other,Yet To Be Determined,F,Aboriginal,51.82,0
69324,Assault,Not Eligible,M,No,39.08,0
70837,Assault,Primary,M,No,34.48,15666.2
71514,Assault,Primary,M,No,17.96,3260
73313,Homicide - Other,Related,F,No,57.92,16337.06
73445,Homicide - Other,Related,F,No,41.05,9256.44
76585,Sexual Offences,Yet To Be Determined,F,No,43.79,0
52896,Assault,Primary,F,No,1.75,10063.6
57519,Assault,Not Eligible,M,Aboriginal,60.92,0
60218,Assault,Yet To Be Determined,M,No,31.41,0
60477,Homicide - Other,Related,F,No,49.8,5000
65264,Assault,Not Eligible,M,No,49.09,0
65766,Assault,Primary,M,No,20.68,0
65984,Assault,Primary,F,No,32.45,854.33
66266,Assault,Primary,M,No,24.59,2757
66282,Homicide - Other,Related,F,No,38.78,13874
71087,Assault,Primary,M,No,37.35,3680
71298,Assault,Primary,M,No,51.17,2153.1
72452,Homicide - Other,Related,F,Aboriginal,57.81,1934.43
74247,Assault,Primary,F,Torres Strait Islander,44.03,1490
74265,Assault,Yet To Be Determined,F,No,19.56,0
46528,Assault,Primary,M,No,39.33,1930
47432,Sexual Offences,Primary,F,No,26.64,57047.3
49999,Sexual Offences,Primary,F,No,51.37,8500
59439,Assault,Primary,M,No,33.64,29140
59814,Assault,Primary,M,No,38.72,12664.41
62549,Assault,Primary,F,Aboriginal,47.07,1015
63299,Assault,Not Eligible,F,No,25.53,0
64928,Assault,Primary,M,Unknown,29.95,1335
68801,Sexual Offences,Primary,F,No,5.48,5000
69458,Homicide - Other,Related,F,No,37.82,10000
48905,Homicide - Other,Yet To Be Determined,F,No,30.69,0
48991,Homicide - Other,Related,F,Aboriginal and Torres Strait,10.9,1876.86
49791,Assault,Primary,F,No,40.95,4710
50912,Assault,Primary,F,Aboriginal,38.12,13314.81
52850,Assault,Parent Secondary,M,No,26.82,13815.42
53336,Stalking/Threats,Primary,F,Unknown,47.81,1300
57882,Homicide - Other,Yet To Be Determined,M,Aboriginal,65.72,0
58382,Assault,Primary,M,Unknown,55.38,3000
59669,Assault,Primary,M,No,19.13,1410
60523,Stalking/Threats,Primary,F,No,27.7,1599.01
65068,Homicide - Other,Related,M,No,19.78,10000
65585,Stalking/Threats,Primary,F,No,40.35,200
65651,Homicide - Other,Yet To Be Determined,M,No,20.61,0
55925,Homicide - Other,Yet To Be Determined,M,Aboriginal,39.45,0
57380,Assault,Primary,F,No,38.21,4415.25
60188,Assault,Primary,M,No,24.79,4375.7
60591,Sexual Offences,Primary,F,Unknown,29.86,12502.36
61508,Assault,Not Eligible,F,No,40.08,0
61526,Assault,Primary,F,No,40.45,1300
62244,Sexual Offences,Primary,F,No,14.64,8500
62676,Assault,Primary,M,No,34.25,6099.39
66972,Homicide - Other,Yet To Be Determined,F,Aboriginal,27.92,0
68561,Assault,Primary,M,No,38.69,35208.2
68861,Assault,Primary,M,No,19.78,4029
71235,Assault,Primary,M,No,30.98,9900.67
74128,Sexual Offences,Yet To Be Determined,F,Aboriginal,18.81,0
79503,Assault,Not Eligible,F,No,39.51,0
81557,Homicide - MVA,Not Eligible,M,No,45.43,0
82027,Assault,Primary,M,No,32.08,3847.05
67421,Assault,Primary,M,No,34.08,25447.53
67878,Domestic Violence,Primary,F,No,21.74,27410.04
68246,Sexual Offences,Primary,F,Aboriginal,10.44,10000
69434,Homicide - Other,Related,M,No,35.62,10000
71817,Assault,Yet To Be Determined,M,No,52.47,0
74187,Assault,Primary,M,No,47.71,0
76570,Homicide - Other,Yet To Be Determined,F,Torres Strait Islander,18.58,0
77483,Homicide - Other,Yet To Be Determined,F,Torres Strait Islander,39.37,0
78633,Assault,Primary,M,Unknown,35.68,4852.64
80230,Assault,Yet To Be Determined,F,No,32.52,0
81607,Homicide - Other,Related,M,Aboriginal,52.5,10000
83599,Sexual Offences,Primary,F,Aboriginal and Torres Strait,37.32,3922.25
84494,Sexual Offences,Primary,F,Unknown,16.36,10107.15
56500,Other,Yet To Be Determined,M,No,43.53,0
63359,Assault,Primary,M,No,63.95,2500
63486,Assault,Primary,M,Unknown,33.67,28182
64179,Assault,Primary,M,Aboriginal,51.94,4293.38
64238,Assault,Primary,M,No,34.27,1528.7
66065,Assault,Primary,M,No,21.71,14873.49
72585,Homicide - Other,Related,F,No,37.51,41433.44
74516,Assault,Yet To Be Determined,M,No,39.04,0
74614,Homicide - Other,Yet To Be Determined,M,Aboriginal,30.35,0
76052,Robbery,Primary,F,No,54.39,2300
76847,Assault,Primary,F,No,30.37,5112.7
78776,Assault,Primary,F,Aboriginal,55.02,1300
87373,Assault,Primary,F,No,31.02,850
106504,Assault,Primary,F,No,64.7,11829.5
68598,Other,Primary,F,Aboriginal,45.59,1624.6
71179,Homicide - Other,Related,F,No,45.2,16659.75
75586,Domestic Violence,Not Eligible,F,Unknown,50.78,0
76970,Assault,Primary,M,Aboriginal,36.97,11954.2
77540,Homicide - Other,Related,F,No,15.66,20502.82
77633,Homicide - Other,Related,F,No,22.05,12617
80741,Assault,Primary,M,No,51.18,17891.6
83097,Assault,Primary,M,No,34.31,2060
85596,Sexual Offences,Primary,F,No,9.54,10169
71148,Sexual Offences,Primary,F,No,17.05,4879.8
71162,Burglary,Not Eligible,M,No,69.78,0
75324,Homicide - Other,Related,M,No,42.78,10049.11
80624,Homicide - MVA,Related,F,No,53.59,10000
66202,Domestic Violence,Primary,F,Unknown,31.25,6900
67672,Homicide - Other,Funeral Only,M,No,55.86,5660.63
67795,Homicide - Other,Related,M,Unknown,47.8,10000
68104,Domestic Violence,Primary,F,No,35.42,11530
68179,Sexual Offences,Yet To Be Determined,F,No,22.68,0
74172,Assault,Primary,M,No,50.5,32263.68
74715,Homicide - Other,Related,F,No,28.22,9551.22
83157,Assault,Primary,M,No,13.36,6405.51
