id,status,name,address,latitude,longitude,region1,type_id,type_name,notes,product1,product2,product3,service1,service2,service3,service4,service5,region2,region3
23,Draft,7-Eleven 243 Edward Street Brisbane,"243 Edward Street, Brisbane , Brisbane Central",-27.4675,153.027,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,Brisbane,
24,Published,7-Eleven 324 Queen Street Brisbane,"324 Queen Street, Brisbane , Brisbane Central",-27.4668,153.029,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,Brisbane,
25,Published,7-Eleven 333 George Street Brisbane,"corner George and Turbot Streets, Brisbane , Brisbane Central",-27.4687,153.022,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
26,Published,7-Eleven Aurora Brisbane,"420 Queen Street, corner Wharf Street, Brisbane , Brisbane Central",-27.4652,153.03,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
27,Archived,7-Eleven Myer Centre Brisbane,"91 Queen Street, Brisbane , Brisbane Central",-27.4703,153.025,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,Airlie Beach,
28,Published,7-Eleven Albert Street Brisbane,"97 Albert Street, Brisbane , Brisbane Central",-27.4715,153.027,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
29,Published,7-Eleven Creek Street Brisbane,"99 Creek Street, Brisbane , Brisbane Central",-27.4662,153.028,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
30,Published,7-Eleven Transit Centre,"458 George Street, Brisbane , Brisbane Central",-27.467361,153.019897,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
31,Archived,Albert Street News,"80 Albert Street, Brisbane , Brisbane Central",-27.4721,153.028,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
32,Published,Central station,"Ann Street, Brisbane , Brisbane Central",-27.465905,153.025936,Brisbane Central,5,Rail fare machine,,go card,SEEQ card,,Buy,Top up,Register,Refund,Change expiry date,Brisbane,
33,Published,City Mall News,"Queen Street Kiosk, Brisbane , Brisbane Central",-27.4685,153.027,Brisbane Central,1,Standard retailer,,go card,SEEQ card,Visitor Information Pack,Buy,Top up,Register,Refund,Change expiry date,Brisbane,
34,Published,City News,"10 Eagle Street, Brisbane , Brisbane Central",-27.4694,153.03,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
35,Published,Eagle Street News,"Ground Floor, 70 Eagle Street, Brisbane , Brisbane Central",-27.4671,153.03,Brisbane Central,1,Standard retailer,,go card,SEEQ card,Visitor Information Pack,Buy,Top up,Register,Refund,Change expiry date,Brisbane,
36,Published,Exchange Casket Agency,"360 Queen Street, Brisbane , Brisbane Central",-27.4664,153.029,Brisbane Central,1,Standard retailer,,go card,Visitor Information Pack,,Buy,Top up,Change expiry date,,,Brisbane,
37,Published,George Street News,"370 George Street, Brisbane , Brisbane Central",-27.4689,153.021,Brisbane Central,1,Standard retailer,,go card,Visitor Information Pack,,Buy,Top up,Change expiry date,,,Brisbane,
38,Published,GPO News,"Shop 1, 40 Creek Street, Brisbane , Brisbane Central",-27.4671,153.029,Brisbane Central,1,Standard retailer,,go card,SEEQ card,Visitor Information Pack,Buy,Top up,Register,Refund,Change expiry date,Brisbane,
39,Published,Mary Street News,"Shop 4, 100 Edward Street , Brisbane , Brisbane Central",-27.4704,153.029,Brisbane Central,1,Standard retailer,,go card,Visitor Information Pack,,Buy,Top up,Change expiry date,,,Brisbane,
40,Archived,Midas News and Casket,"363 Adelaide Street, Brisbane , Brisbane Central",-27.4649,153.03,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
41,Published,Mineral House News,"41 George Street, Brisbane , Brisbane Central",-27.473771,153.026526,Brisbane Central,1,Standard retailer,,go card,Visitor Information Pack,,Buy,Top up,Change expiry date,,,Brisbane,
42,Published,Post Office Square News,"280 Queen Street, Brisbane , Brisbane Central",-27.468,153.028,Brisbane Central,1,Standard retailer,,go card,SEEQ card,Visitor Information Pack,Buy,Top up,Register,Refund,Change expiry date,Brisbane,
43,Published,QUT Student Guild,"2 George Street, Queensland University of Technology, Gardens Point campus (L block), Brisbane , Brisbane North",-27.4757,153.027,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
44,Published,Rankins on the Mall,"Queen Street, Brisbane , Brisbane Central",-27.4697,153.025,Brisbane Central,1,Standard retailer,,go card,SEEQ card,Visitor Information Pack,Buy,Top up,Register,Refund,Change expiry date,Brisbane,
45,Published,Roma Street station,"Roma Street, Brisbane , Brisbane Central",-27.4652,153.019,Brisbane Central,5,Rail fare machine,,go card,SEEQ card,,Buy,Top up,Register,Refund,Change expiry date,Brisbane,
46,Published,Macarthur News,"259 Queen Street, Macarthur Central Building, Brisbane , Brisbane Central",-27.4683,153.027,Brisbane Central,1,Standard retailer,,go card,Visitor Information Pack,,Buy,Top up,Change expiry date,,,Brisbane,
47,Archived,Supanews Brisbane Square,"Brisbane Square, George Street, Brisbane , Brisbane Central",-27.4709,153.023,Brisbane Central,1,Standard retailer,,go card,Visitor Information Pack,,Buy,Top up,Change expiry date,,,,
48,Published,Supanews Central Station,"Central Concourse, Central Station, Ann Street , Brisbane , Brisbane Central",-27.466,153.026,Brisbane Central,1,Standard retailer,,go card,SEEQ card,Visitor Information Pack,Buy,Top up,Register,Refund,Change expiry date,Brisbane,
49,Published,Supanews Myer Centre Level A,"Queen Street Mall, Myer Centre (level A), Brisbane , Brisbane Central",-27.4711,153.025,Brisbane Central,1,Standard retailer,,go card,SEEQ card,Visitor Information Pack,Buy,Top up,Register,Refund,Change expiry date,Brisbane,
50,Published,NewsXpress Myer Centre Level E,"Queen Street Mall, Myer Centre (level E), Brisbane , Brisbane Central",-27.4709,153.024,Brisbane Central,1,Standard retailer,,go card,Visitor Information Pack,,Buy,Top up,Change expiry date,,,Brisbane,
51,Published,Supanews Xpress Central Station Platform 1/2,"Central station (platform 1/2), Ann Street, Brisbane , Brisbane Central",-27.4661,153.026,Brisbane Central,1,Standard retailer,,go card,Visitor Information Pack,,Buy,Top up,Change expiry date,,,Brisbane,
52,Published,Supanews Xpress Central Station Platform 3/4,"Central station (platform 3/4), Ann Street, Brisbane , Brisbane Central",-27.4661,153.026,Brisbane Central,1,Standard retailer,,go card,Visitor Information Pack,,Buy,Top up,Change expiry date,,,Brisbane,
53,Published,Supanews Xpress Central Station Platform 5/6,"Central station (platform 5/6), Ann Street , Brisbane , Brisbane Central",-27.4661,153.026,Brisbane Central,1,Standard retailer,,go card,Visitor Information Pack,,Buy,Top up,Change expiry date,,,Brisbane,
54,Published,Supanews Xpress Myer Centre Level E,"Queen Street Mall, Myer Centre (level E), Brisbane , Brisbane Central",-27.4712,153.024,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
55,Published,7-Eleven Phoenician Broadbeach,"The Phoenician, 90 Surf Parade, Broadbeach, Gold Coast",-28.027816,153.43085,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
56,Published,7-Eleven Browns Plains,"264-266 Browns Plains Road, Browns Plains, Brisbane South",-27.6639,153.063,Brisbane South,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
57,Archived,Princess Alexandra Area News & Casket,"250 Ipswich Road, Buranda, Brisbane South",-27.498,153.035,Brisbane South,1,Standard retailer,,go card,Visitor Information Pack,,Buy,Top up,Change expiry date,,,,
58,Published,7-Eleven Burleigh Heads,"Gold Coast Highway, corner Fifth Avenue, Burleigh Heads, Gold Coast",-28.078462,153.446451,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
59,Published,Burpengary Station,"Burpengary Road, Burpengary, Northern",-27.163078,152.957113,Northern,5,Rail fare machine,,go card,,,Buy,Top up,Register,Refund,Change expiry date,Moreton Bay,
60,Published,Caboolture Station,"Matthew Terrace, Caboolture, Northern",-27.083347,152.954011,Northern,5,Rail fare machine,,go card,,,Top up,,,,,Brisbane,
61,Published,NewsXpress Caboolture,"Matthew Terrace, corner James Street, Caboolture, Northern",-27.0833,152.953,Northern,1,Standard retailer,,go card,SEEQ card,Visitor Information Pack,Buy,Top up,Register,Refund,Change expiry date,,
62,Published,Nextra Cannon Hill,"K-Mart Plaza, Creek Road, Cannon Hill, Brisbane East",-27.4711,153.098,Brisbane East,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
63,Published,NewsExtra Capalaba,"Shop 77, Capalaba Central Shopping Centre, Moreton Bay Road, Capalaba, Eastern",-27.5231,153.194,Eastern,1,Standard retailer,,go card,,,Buy,,,,,,
64,Published,7-Eleven Carina,"1505 Creek Road, Carina, Brisbane East",-27.4877,153.1,Brisbane,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,Brisbane,
65,Published,Nextra Carindale News,"Upper Level Westfield Carindale, Creek Road, Carindale, Brisbane East",-27.504137,153.10215,Brisbane East,1,Standard retailer,,go card,SEEQ card,Visitor Information Pack,Buy,Top up,Register,Refund,Change expiry date,Brisbane,
66,Published,Nextra Chermside,"Westfield Shopping Centre, Gympie Road, Chermside, Brisbane North",-27.3854,153.033,Brisbane North,1,Standard retailer,,go card,SEEQ card,Visitor Information Pack,Buy,Top up,Register,Refund,Change expiry date,Brisbane,
67,Published,Bloomfield Street News,"115 - 117 Bloomfield Street, Cleveland, Eastern",-27.5275,153.267,Eastern,1,Standard retailer,,go card,SEEQ card,Visitor Information Pack,Buy,Top up,Register,Refund,Change expiry date,Moreton Bay,
68,Published,Cleveland station,"Shore Street, Cleveland, Eastern",-27.52421,153.265657,Eastern,6,Rail ticket office,,go card,,,Buy,Top up,Register,Refund,Change expiry date,Brisbane,
69,Published,7-Eleven Clontarf,"9 Elizabeth Avenue, Clontarf (Moreton Bay Regional), Northern",-27.2609,153.08,Northern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
70,Published,7-Eleven Coolangatta,"18 Griffith Street, Coolangatta (Gold Coast City), Gold Coast",-28.16833,153.536129,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
71,Published,7-Eleven Coopers Plains,"129 Orange Grove Road, Coopers Plains, Brisbane South",-27.5639,153.04,Brisbane South,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
72,Archived,Cavendish Road News,"157 Cavendish Road, Coorparoo, Brisbane East",-27.4936,153.059,Brisbane East,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
73,Published,Corinda station,"Watt Street, corner Ruthven Street, Corinda, Brisbane South",-27.5396,152.98,Brisbane South,5,Rail fare machine,,go card,,,Buy,Top up,Register,Refund,Change expiry date,,
74,Published,Darra station,"Darra Station Road, Darra, Brisbane West",-27.5659,152.952,Brisbane West,5,Rail fare machine,,go card,,,Buy,Top up,Register,Refund,Change expiry date,,
75,Published,7-Eleven Deagon,"11 Depot Road, Deagon, Brisbane North",-27.3284,153.054,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
76,Published,7-Eleven Dinmore,"29-31 Brisbane Road, Dinmore, Western",-27.5979,152.832,Western,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
77,Published,7-Eleven Durack,"14 Rosemary Street, Durack, Brisbane South",-27.5792,152.975,Brisbane South,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
78,Published,Eagle Junction station,"Junction Road, Eagle Junction, Brisbane North",-27.4151,153.05,Brisbane North,5,Rail fare machine,,go card,,,Buy,Top up,Register,Refund,Change expiry date,,
79,Published,7-Eleven East Beenleigh,"79 Logan River Road, East Beenleigh, Southern",-27.7134,153.185,Southern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
80,Published,7-Eleven East Brisbane,"508 Vulture Street, East Brisbane, Brisbane East",-27.4847,153.039,Brisbane East,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
81,Published,7-Eleven Fairfield Gardens,"180 Fairfield Road, Fairfield Gardens, Brisbane South",-27.509,153.026,Brisbane South,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
82,Published,Ferny Grove station,"Conavalla Street, Ferny Grove, Brisbane North",-27.4013,152.935,Brisbane North,5,Rail fare machine,,go card,,,Buy,Top up,Register,Refund,Change expiry date,,
83,Published,Forest Lake Village News,"Forest Lake Village Shopping Centre, Forest Lake Boulevard, Forest Lake, Brisbane West",-27.6255,152.968,Brisbane West,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
84,Published,7-Eleven Fortitude Valley,"376 Brunswick Street, Fortitude Valley, Brisbane Central",-27.4589,153.036,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
85,Published,Fortitude Valley station,"Brunswick Street, Fortitude Valley, Brisbane Central",-27.4567,153.033,Brisbane Central,5,Rail fare machine,,go card,SEEQ card,,Buy,Top up,Register,Refund,Change expiry date,Brisbane,
86,Published,7-Eleven Graceville,"246 Oxley Road, Graceville, Brisbane South",-27.5219,152.98,Brisbane South,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
87,Published,7-Eleven Grange,"Days Road, corner Kedron Brook Road, Grange, Brisbane North",-27.4266,153.019,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
88,Published,Greenslopes Newsagency,"Shop 19, Greenslopes Mall, 700 Logan Road, Greenslopes, Brisbane South",-27.5121,153.054,Brisbane South,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
89,Published,7-Eleven Hamilton,"Kingsford Smith Drive, corner and Racecourse Road, Hamilton, Brisbane North",-27.441,153.046,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
90,Published,Riding Road News,"63 Riding Road, Hawthorne, Brisbane East",-27.4668,153.065,Brisbane East,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
91,Published,Helensvale station,"Town Centre Drive, Helensvale, Gold Coast",-27.9258,153.339,Gold Coast,5,Rail fare machine,,go card,SEEQ card,,Buy,Top up,Register,Refund,Change expiry date,,
92,Published,Supanews Xpress Helensvale,"Westfield Shopping Centre, Gold Coast Highway, corner Town Centre Drive, Helensvale, Gold Coast",-27.9272,153.336,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
93,Published,7-Eleven Heritage Park,"118 Waller Road, Heritage Park, Southern",-27.6734,153.053,Southern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
94,Published,Nextra General Hospital News,"Ned Hanlon Building, Royal Brisbane Hospital, Herston, Brisbane North",-27.4475,153.029,Brisbane North,1,Standard retailer,,go card,Visitor Information Pack,,Buy,Top up,Change expiry date,,,Brisbane,
95,Published,7-Eleven Hope Island,"341 Southport-Oxenford Road, Hope Island, Gold Coast",-27.880533,153.334068,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
96,Published,Inala Plaza News,"Shop 4, Inala Civic Centre, Corsair Avenue, Inala, Brisbane West",-27.599,152.975,Brisbane West,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
97,Published,7-Eleven Indooroopilly,"14 Station Road, Indooroopilly, Brisbane West",-27.5026,152.975,Brisbane West,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
98,Published,Metro News Indooroopilly,"Level 3, Indooroopilly Shoppingtown, Indooroopilly, Brisbane West",-27.4976,152.974,Brisbane West,1,Standard retailer,,go card,SEEQ card,Visitor Information Pack,Buy,Top up,Register,Refund,Change expiry date,Brisbane,
99,Published,Ipswich station,"Bell Street, Ipswich, Western",-27.6129,152.761,Western,5,Rail fare machine,,go card,SEEQ card,,Buy,Top up,Register,Refund,Change expiry date,,
100,Published,7-Eleven Jindalee,"721 Seventeen Mile Rock Road, Jindalee, Brisbane West",-27.5373,152.95,Brisbane West,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
101,Published,7-Eleven Kedron,"Cnr Gympie Road and Nundah Street, Kedron, Brisbane North",-27.4008,153.032,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
102,Published,Kelvin Grove News & Post Office,"Victoria Park Road, Queensland University of Technology (C block), Kelvin Grove, Brisbane North",-27.4518,153.015,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
103,Published,7-Eleven Kenmore,"2058-2062 Moggill Road, Kenmore, Brisbane West",-27.5102,152.938,Brisbane West,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
104,Published,Supanews Keperra,"Settlement Road, Great Western Super Centre, Keperra, Brisbane North",-27.4151,152.949,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
105,Published,7-Eleven Kingston,"Kingston Road, corner Wanda Street, Kingston",-27.6449,153.118,South East Queensland,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,South East Queensland,
106,Published,7-Eleven Kirra,"Kirra Beach Plaza, Musgrave Road, corner Douglas Road, Kirra, Gold Coast",-28.1678,153.528,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
107,Published,7-Eleven Labrador,"78-84 Frank Street, Labrador, Gold Coast",-27.9487,153.408,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
108,Published,7-Eleven Logan City,"120 Wembley Road, Logan City, Southern",-27.6413,153.107,Southern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
109,Published,7-Eleven Lutwyche,"446 Lutwyche Road, Lutwyche, Brisbane North",-27.4247,153.033,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
110,Published,7-Eleven Mackenzie,"902 Mt Gravatt-Capalaba Road, Mackenzie (Brisbane City), Eastern",-27.5459,153.123,Eastern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
111,Published,Supanews North Lakes,"Shop 1085, Westfield Shopping Centre, Anzac Avenue, North Lakes, Northern",-27.2398,153.02,Brisbane,1,Standard retailer,,go card,SEEQ card,Visitor Information Pack,Buy,Top up,Register,Refund,Change expiry date,Brisbane,
112,Published,Manly station,"Ernest Street, Manly, Brisbane East",-27.457,153.18,Brisbane East,5,Rail fare machine,,go card,,,Buy,Top up,Register,Refund,Change expiry date,,
113,Published,7-Eleven Manly West,"459 Manly Road, Manly West, Eastern",-27.4755,153.166,Eastern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
114,Published,7-Eleven Marcoola,"946-948 David Low Way, Marcoola, Sunshine Coast",-26.6007,153.096,Sunshine Coast,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
115,Published,7-Eleven Maroochydore,"Aerodrome Road, corner Wirraway Street, Maroochydore, Sunshine Coast",-26.6624,153.105,Sunshine Coast,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
116,Published,Cotton Tree News,"9 King Street, Maroochydore, Sunshine Coast",-26.6547,153.101,Sunshine Coast,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
117,Published,7-Eleven Maroochydore North,"53 Aerodrome Road, Maroochydore, Sunshine Coast",-26.6605,153.1,Sunshine Coast,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
118,Published,7-Eleven Mermaid Waters,"1 Lakeview Boulevard, Mermaid Waters, Queensland, Australia",-28.040189,153.408303,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
119,Published,Milton News Centre,"Shop 3, Milton Shopping Centre, Baroona Road, Milton, Brisbane West",-27.4685,153.003,Brisbane West,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
120,Published,Mitchelton station,"McConaghy Street, Mitchelton, Brisbane North",-27.4115,152.976,Brisbane North,5,Rail fare machine,,go card,,,Buy,Top up,Register,Refund,Change expiry date,Brisbane,
121,Published,7-Eleven Mooloolaba,"85 The Esplanade, Mooloolaba, Sunshine Coast",-26.6841,153.125,Sunshine Coast,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
122,Published,7-Eleven Morayfield,"272 Morayfield Road, Morayfield, Northern",-27.1123,152.951,Northern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
123,Published,Morayfield station,"Visentin Road, Morayfield, Northern",-27.1098,152.952,Northern,5,Rail fare machine,,go card,,,Buy,Top up,Register,Refund,Change expiry date,,
124,Published,7-Eleven Murrumba Downs,"9 Blyth Road, Murrumba Downs, Northern",-27.2732,153.015,Northern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
125,Published,Nambour station,"Civic Way, Nambour, Sunshine Coast",-26.6258,152.958,Sunshine Coast,5,Rail fare machine,,go card,SEEQ card,,Buy,Top up,Register,Refund,Change expiry date,,
126,Published,Nathan Post Office,"Kessels Road, Community Centre, Griffith University, Nathan, Brisbane South",-27.5529,153.054,Brisbane South,1,Standard retailer,,go card,SEEQ card,Visitor Information Pack,Buy,Top up,Register,Refund,Change expiry date,Brisbane,
127,Published,Nerang station,"Warrener Street, Nerang, Gold Coast",-27.9943,153.35,Gold Coast,5,Rail fare machine,,go card,,,Buy,Top up,Register,Refund,Change expiry date,,
128,Published,7-Eleven New Farm,"79 Merthyr Road, New Farm, Brisbane Central",-27.4674,153.046,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
129,Published,7-Eleven Noosa,"91-97 Noosa Drive, Noosa Heads, Sunshine Coast",-26.3971,153.088,Sunshine Coast,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
130,Published,Northgate station,"Ryan Street, corner Holland Street, Northgate, Brisbane North",-27.3936,153.069,Brisbane North,5,Rail fare machine,,go card,,,Buy,Top up,Register,Refund,Change expiry date,,
131,Published,Toombul station,"Collins Street, Nundah, Brisbane North",-27.4073,153.059,Brisbane North,5,Rail fare machine,,go card,,,Buy,Top up,Register,Refund,Change expiry date,,
132,Published,7-Eleven Oxenford,"170 Old Pacific Highway, Oxenford, Gold Coast",-27.885812,153.313517,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
133,Published,Oxley Rail Station Fare Machine,"Ardoyne Road, Oxley, Brisbane South",-27.5525,152.974,Brisbane South,5,Rail fare machine,,go card,,,Top up,,,,,,
134,Published,Paddington News ,"Shop 5, 95 Latrobe Terrace, Paddington, Brisbane North",-27.459,152.998,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
135,Published,7-Eleven Palm Beach North,"1346-1354 Gold Coast Highway, Palm Beach North, Palm Beach, Gold Coast",-28.109083,153.465528,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
136,Published,Park Ridge News,"Park Ridge Shopping Village corner Mt Lindesay Hwy and Park Ridge Road, Park Ridge, Southern",-27.6974,153.039,Southern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
137,Published,7-Eleven Parkwood,"236 Napper Road, Parkwood, Gold Coast",-27.947034,153.350839,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
