Year,ICD10_Code,ICD10_Description,Classification,Metric_Primary,Metric_Secondary,Value
2012/13,K70.3,Alcoholic cirrhosis of liver,Broad,Alcoholic liver disease,Wholly attributable,23350
2012/13,K70.4,Alcoholic hepatic failure,Broad,Alcoholic liver disease,Wholly attributable,3700
2012/13,K70.9,"Alcoholic liver disease, unspecified",Broad,Alcoholic liver disease,Wholly attributable,18810
2012/13,T51.0,Ethanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,31390
2012/13,T51.1,Methanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,50
2012/13,T51.9,"Toxic effect of alcohol, unspecified",Broad,Toxic effect of alcohol,Wholly attributable,2440
2012/13,E24.4,Alcohol-induced pseudo-Cushing?s syndrome,Broad,Other,Wholly attributable,0
2012/13,G31.2,Degeneration of nervous system due to alcohol,Broad,Other,Wholly attributable,610
2012/13,G62.1,Alcoholic polyneuropathy,Broad,Other,Wholly attributable,360
2012/13,G72.1,Alcoholic myopathy,Broad,Other,Wholly attributable,40
2012/13,I42.6,Alcoholic cardiomyopathy,Broad,Other,Wholly attributable,1000
2012/13,K29.2,Alcoholic gastritis,Broad,Other,Wholly attributable,2030
2012/13,K85.2,Alcohol-induced acute pancreatitis,Broad,Other,Wholly attributable,3470
2012/13,K86.0,Alcohol-induced chronic pancreatitis,Broad,Other,Wholly attributable,4510
2012/13,Q86.0,Fetal alcohol syndrome (dysmorphic),Broad,Other,Wholly attributable,250
2012/13,R78.0,Excess alcohol blood levels,Broad,Other,Wholly attributable,170
2012/13,X45,Accidental poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,150
2012/13,X65,Intentional self-poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,400
2012/13,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Broad,Other,Wholly attributable,30
2012/13,Y90,Evidence of alcohol involvement determined by blood alcohol level,Broad,Other,Wholly attributable,90
2012/13,Y91,Evidence of alcohol involvement determined by level of intoxication,Broad,Other,Wholly attributable,920
2012/13,A15-A19,Tuberculosis,Broad,Infectious and parasitic diseases,Partly attributable chronic,1440
2012/13,C00-C14,"Lip, oral cavity and pharynx",Broad,Cancer,Partly attributable chronic,10710
2012/13,C15,Oesophagus,Broad,Cancer,Partly attributable chronic,21550
2012/13,"C18-C20, C21",Colorectal,Broad,Cancer,Partly attributable chronic,20990
2012/13,C22,Liver and intrahepatic bile ducts,Broad,Cancer,Partly attributable chronic,1110
2012/13,C32,Larynx,Broad,Cancer,Partly attributable chronic,2050
2012/13,C50,Breast,Broad,Cancer,Partly attributable chronic,27100
2012/13,G40-G41,Epilepsy and Status epilepticus,Broad,Diseases of the nervous system,Partly attributable chronic,49000
2012/13,I10-I15,Hypertensive diseases,Broad,Cardiovascular disease,Partly attributable chronic,404650
2012/13,I47-I48,Cardiac arrhythmias,Broad,Cardiovascular disease,Partly attributable chronic,67530
2012/13,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Broad,Cardiovascular disease,Partly attributable chronic,2100
2012/13,"I63-I66, I69.3-I69.4",Ischaemic stroke,Broad,Cardiovascular disease,Partly attributable chronic,170
2012/13,I85,Oesophageal varices,Broad,Cardiovascular disease,Partly attributable chronic,4600
2012/13,"J10-J11(.0), J12-J15, J18",Pneumonia,Broad,Respiratory infections,Partly attributable chronic,10580
2012/13,"K73, K74",Unspecified liver disease,Broad,Digestive disease,Partly attributable chronic,12430
2012/13,"K85, K86.1",Acute and chronic pancreatitis,Broad,Digestive disease,Partly attributable chronic,8250
2012/13,O03,Spontaneous abortion,Broad,Pregnancy and childbirth,Partly attributable chronic,3420
2012/13,P05-P07,Low birth weight,Broad,Pregnancy and childbirth,Partly attributable chronic,3340
2012/13,?,Road/Ped traffic accidents,Broad,Unintentional injuries,Partly attributable acute,4750
2012/13,X40?X49,Poisoning,Broad,Unintentional injuries,Partly attributable acute,1240
2012/13,W00-W19,Fall injuries,Broad,Unintentional injuries,Partly attributable acute,12920
2012/13,X00-X09,Fire injuries,Broad,Unintentional injuries,Partly attributable acute,140
2012/13,W65-W74,Drowning,Broad,Unintentional injuries,Partly attributable acute,10
2012/13,??,Other unintentional injuries,Broad,Intentional injuries,Partly attributable acute,32610
2012/13,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Broad,Intentional injuries,Partly attributable acute,5630
2012/13,"Y10-Y34, Y87.2",Event of undetermined intent,Broad,Intentional injuries,Partly attributable acute,170
2012/13,"X85-Y09, Y87.1",Assault,Broad,Intentional injuries,Partly attributable acute,3370
2011/12,F10.0,Acute intoxication,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,56510
2011/12,F10.1,Harmful use,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,64560
2011/12,F10.2,Dependence syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,57540
2011/12,F10.3,Withdrawal state,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,23250
2011/12,F10.4,Withdrawal state with delirium,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1230
2011/12,F10.5,Psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,400
2011/12,F10.6,Amnesic syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1220
2011/12,F10.7,Residual and late-onset psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,720
2011/12,F10.8,Other mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,80
2011/12,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1010
2011/12,K70.0,Alcoholic fatty liver,Broad,Alcoholic liver disease,Wholly attributable,1060
2011/12,K70.1,Alcoholic hepatitis,Broad,Alcoholic liver disease,Wholly attributable,3220
2011/12,K70.2,Alcoholic fibrosis and sclerosis of liver,Broad,Alcoholic liver disease,Wholly attributable,200
2011/12,K70.3,Alcoholic cirrhosis of liver,Broad,Alcoholic liver disease,Wholly attributable,21380
2011/12,K70.4,Alcoholic hepatic failure,Broad,Alcoholic liver disease,Wholly attributable,3360
2011/12,K70.9,"Alcoholic liver disease, unspecified",Broad,Alcoholic liver disease,Wholly attributable,20230
2011/12,T51.0,Ethanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,33540
2011/12,T51.1,Methanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,40
2011/12,T51.9,"Toxic effect of alcohol, unspecified",Broad,Toxic effect of alcohol,Wholly attributable,2550
2011/12,E24.4,Alcohol-induced pseudo-Cushing?s syndrome,Broad,Other,Wholly attributable,0
2011/12,G31.2,Degeneration of nervous system due to alcohol,Broad,Other,Wholly attributable,620
2011/12,G62.1,Alcoholic polyneuropathy,Broad,Other,Wholly attributable,360
2011/12,G72.1,Alcoholic myopathy,Broad,Other,Wholly attributable,60
2011/12,I42.6,Alcoholic cardiomyopathy,Broad,Other,Wholly attributable,1060
2011/12,K29.2,Alcoholic gastritis,Broad,Other,Wholly attributable,2090
2011/12,K85.2,Alcohol-induced acute pancreatitis,Broad,Other,Wholly attributable,-
2011/12,K86.0,Alcohol-induced chronic pancreatitis,Broad,Other,Wholly attributable,7360
2011/12,Q86.0,Fetal alcohol syndrome (dysmorphic),Broad,Other,Wholly attributable,260
2011/12,R78.0,Excess alcohol blood levels,Broad,Other,Wholly attributable,160
2011/12,X45,Accidental poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,190
2011/12,X65,Intentional self-poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,380
2011/12,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Broad,Other,Wholly attributable,20
2011/12,Y90,Evidence of alcohol involvement determined by blood alcohol level,Broad,Other,Wholly attributable,40
2011/12,Y91,Evidence of alcohol involvement determined by level of intoxication,Broad,Other,Wholly attributable,1040
2011/12,A15-A19,Tuberculosis,Broad,Infectious and parasitic diseases,Partly attributable chronic,1470
2011/12,C00-C14,"Lip, oral cavity and pharynx",Broad,Cancer,Partly attributable chronic,10190
2011/12,C15,Oesophagus,Broad,Cancer,Partly attributable chronic,20740
2011/12,"C18-C20, C21",Colorectal,Broad,Cancer,Partly attributable chronic,20820
2011/12,C22,Liver and intrahepatic bile ducts,Broad,Cancer,Partly attributable chronic,1070
2011/12,C32,Larynx,Broad,Cancer,Partly attributable chronic,1970
2011/12,C50,Breast,Broad,Cancer,Partly attributable chronic,27120
2011/12,G40-G41,Epilepsy and Status epilepticus,Broad,Diseases of the nervous system,Partly attributable chronic,47530
2011/12,I10-I15,Hypertensive diseases,Broad,Cardiovascular disease,Partly attributable chronic,397120
2011/12,I47-I48,Cardiac arrhythmias,Broad,Cardiovascular disease,Partly attributable chronic,64370
2011/12,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Broad,Cardiovascular disease,Partly attributable chronic,2080
2011/12,"I63-I66, I69.3-I69.4",Ischaemic stroke,Broad,Cardiovascular disease,Partly attributable chronic,160
2011/12,I85,Oesophageal varices,Broad,Cardiovascular disease,Partly attributable chronic,4260
2011/12,"J10-J11(.0), J12-J15, J18",Pneumonia,Broad,Respiratory infections,Partly attributable chronic,9440
2011/12,"K73, K74",Unspecified liver disease,Broad,Digestive disease,Partly attributable chronic,11460
2011/12,"K85, K86.1",Acute and chronic pancreatitis,Broad,Digestive disease,Partly attributable chronic,3180
2011/12,O03,Spontaneous abortion,Broad,Pregnancy and childbirth,Partly attributable chronic,3630
2011/12,P05-P07,Low birth weight,Broad,Pregnancy and childbirth,Partly attributable chronic,3230
2011/12,?,Road/Ped traffic accidents,Broad,Unintentional injuries,Partly attributable acute,5130
2011/12,X40?X49,Poisoning,Broad,Unintentional injuries,Partly attributable acute,1230
2011/12,W00-W19,Fall injuries,Broad,Unintentional injuries,Partly attributable acute,14250
2011/12,X00-X09,Fire injuries,Broad,Unintentional injuries,Partly attributable acute,160
2011/12,W65-W74,Drowning,Broad,Unintentional injuries,Partly attributable acute,10
2011/12,??,Other unintentional injuries,Broad,Intentional injuries,Partly attributable acute,33020
2011/12,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Broad,Intentional injuries,Partly attributable acute,5960
2011/12,"Y10-Y34, Y87.2",Event of undetermined intent,Broad,Intentional injuries,Partly attributable acute,200
2011/12,"X85-Y09, Y87.1",Assault,Broad,Intentional injuries,Partly attributable acute,3990
2010/11,F10.0,Acute intoxication,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,57300
2010/11,F10.1,Harmful use,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,48600
2010/11,F10.2,Dependence syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,59040
2010/11,F10.3,Withdrawal state,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,22280
2010/11,F10.4,Withdrawal state with delirium,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1140
2010/11,F10.5,Psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,450
2010/11,F10.6,Amnesic syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1270
2010/11,F10.7,Residual and late-onset psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,660
2010/11,F10.8,Other mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,70
2010/11,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,960
2010/11,K70.0,Alcoholic fatty liver,Broad,Alcoholic liver disease,Wholly attributable,1120
2010/11,K70.1,Alcoholic hepatitis,Broad,Alcoholic liver disease,Wholly attributable,2970
2010/11,K70.2,Alcoholic fibrosis and sclerosis of liver,Broad,Alcoholic liver disease,Wholly attributable,230
2010/11,K70.3,Alcoholic cirrhosis of liver,Broad,Alcoholic liver disease,Wholly attributable,19480
2010/11,K70.4,Alcoholic hepatic failure,Broad,Alcoholic liver disease,Wholly attributable,3020
2010/11,K70.9,"Alcoholic liver disease, unspecified",Broad,Alcoholic liver disease,Wholly attributable,20600
2010/11,T51.0,Ethanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,32660
2010/11,T51.1,Methanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,40
2010/11,T51.9,"Toxic effect of alcohol, unspecified",Broad,Toxic effect of alcohol,Wholly attributable,3150
2010/11,E24.4,Alcohol-induced pseudo-Cushing?s syndrome,Broad,Other,Wholly attributable,10
2010/11,G31.2,Degeneration of nervous system due to alcohol,Broad,Other,Wholly attributable,680
2010/11,G62.1,Alcoholic polyneuropathy,Broad,Other,Wholly attributable,400
2010/11,G72.1,Alcoholic myopathy,Broad,Other,Wholly attributable,60
2010/11,I42.6,Alcoholic cardiomyopathy,Broad,Other,Wholly attributable,1110
2010/11,K29.2,Alcoholic gastritis,Broad,Other,Wholly attributable,2010
2010/11,K85.2,Alcohol-induced acute pancreatitis,Broad,Other,Wholly attributable,-
2010/11,K86.0,Alcohol-induced chronic pancreatitis,Broad,Other,Wholly attributable,7430
2010/11,Q86.0,Fetal alcohol syndrome (dysmorphic),Broad,Other,Wholly attributable,210
2010/11,R78.0,Excess alcohol blood levels,Broad,Other,Wholly attributable,140
2010/11,X45,Accidental poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,150
2010/11,X65,Intentional self-poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,500
2010/11,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Broad,Other,Wholly attributable,20
2010/11,Y90,Evidence of alcohol involvement determined by blood alcohol level,Broad,Other,Wholly attributable,40
2010/11,Y91,Evidence of alcohol involvement determined by level of intoxication,Broad,Other,Wholly attributable,1010
2010/11,A15-A19,Tuberculosis,Broad,Infectious and parasitic diseases,Partly attributable chronic,1480
2010/11,C00-C14,"Lip, oral cavity and pharynx",Broad,Cancer,Partly attributable chronic,10060
2010/11,C15,Oesophagus,Broad,Cancer,Partly attributable chronic,21090
2010/11,"C18-C20, C21",Colorectal,Broad,Cancer,Partly attributable chronic,19770
2010/11,C22,Liver and intrahepatic bile ducts,Broad,Cancer,Partly attributable chronic,1060
2010/11,C32,Larynx,Broad,Cancer,Partly attributable chronic,2070
2010/11,C50,Breast,Broad,Cancer,Partly attributable chronic,26680
2010/11,G40-G41,Epilepsy and Status epilepticus,Broad,Diseases of the nervous system,Partly attributable chronic,45870
2010/11,I10-I15,Hypertensive diseases,Broad,Cardiovascular disease,Partly attributable chronic,380980
2010/11,I47-I48,Cardiac arrhythmias,Broad,Cardiovascular disease,Partly attributable chronic,60900
2010/11,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Broad,Cardiovascular disease,Partly attributable chronic,2100
2010/11,"I63-I66, I69.3-I69.4",Ischaemic stroke,Broad,Cardiovascular disease,Partly attributable chronic,160
2010/11,I85,Oesophageal varices,Broad,Cardiovascular disease,Partly attributable chronic,3810
2010/11,"J10-J11(.0), J12-J15, J18",Pneumonia,Broad,Respiratory infections,Partly attributable chronic,9580
2010/11,"K73, K74",Unspecified liver disease,Broad,Digestive disease,Partly attributable chronic,10200
2010/11,"K85, K86.1",Acute and chronic pancreatitis,Broad,Digestive disease,Partly attributable chronic,2880
2010/11,O03,Spontaneous abortion,Broad,Pregnancy and childbirth,Partly attributable chronic,3690
2010/11,P05-P07,Low birth weight,Broad,Pregnancy and childbirth,Partly attributable chronic,3070
2010/11,?,Road/Ped traffic accidents,Broad,Unintentional injuries,Partly attributable acute,5140
2010/11,X40?X49,Poisoning,Broad,Unintentional injuries,Partly attributable acute,1280
2010/11,W00-W19,Fall injuries,Broad,Unintentional injuries,Partly attributable acute,14930
2010/11,X00-X09,Fire injuries,Broad,Unintentional injuries,Partly attributable acute,180
2010/11,W65-W74,Drowning,Broad,Unintentional injuries,Partly attributable acute,10
2010/11,??,Other unintentional injuries,Broad,Intentional injuries,Partly attributable acute,32640
2010/11,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Broad,Intentional injuries,Partly attributable acute,6060
2010/11,"Y10-Y34, Y87.2",Event of undetermined intent,Broad,Intentional injuries,Partly attributable acute,230
2010/11,"X85-Y09, Y87.1",Assault,Broad,Intentional injuries,Partly attributable acute,4320
2009/10,F10.0,Acute intoxication,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,55180
2009/10,F10.1,Harmful use,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,41020
2009/10,F10.2,Dependence syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,54620
2009/10,F10.3,Withdrawal state,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,21880
2009/10,F10.4,Withdrawal state with delirium,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1240
2009/10,F10.5,Psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,470
2009/10,F10.6,Amnesic syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1070
2009/10,F10.7,Residual and late-onset psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,590
2009/10,F10.8,Other mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,80
2009/10,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,970
2009/10,K70.0,Alcoholic fatty liver,Broad,Alcoholic liver disease,Wholly attributable,980
2009/10,K70.1,Alcoholic hepatitis,Broad,Alcoholic liver disease,Wholly attributable,2660
2009/10,K70.2,Alcoholic fibrosis and sclerosis of liver,Broad,Alcoholic liver disease,Wholly attributable,190
2009/10,K70.3,Alcoholic cirrhosis of liver,Broad,Alcoholic liver disease,Wholly attributable,16410
2009/10,K70.4,Alcoholic hepatic failure,Broad,Alcoholic liver disease,Wholly attributable,2610
2009/10,K70.9,"Alcoholic liver disease, unspecified",Broad,Alcoholic liver disease,Wholly attributable,20220
2009/10,T51.0,Ethanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,30170
2009/10,T51.1,Methanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,40
2009/10,T51.9,"Toxic effect of alcohol, unspecified",Broad,Toxic effect of alcohol,Wholly attributable,3270
2009/10,E24.4,Alcohol-induced pseudo-Cushing?s syndrome,Broad,Other,Wholly attributable,10
2009/10,G31.2,Degeneration of nervous system due to alcohol,Broad,Other,Wholly attributable,670
2009/10,G62.1,Alcoholic polyneuropathy,Broad,Other,Wholly attributable,330
2009/10,G72.1,Alcoholic myopathy,Broad,Other,Wholly attributable,70
2009/10,I42.6,Alcoholic cardiomyopathy,Broad,Other,Wholly attributable,1070
2009/10,K29.2,Alcoholic gastritis,Broad,Other,Wholly attributable,1910
2009/10,K85.2,Alcohol-induced acute pancreatitis,Broad,Other,Wholly attributable,-
2009/10,K86.0,Alcohol-induced chronic pancreatitis,Broad,Other,Wholly attributable,6990
2009/10,Q86.0,Fetal alcohol syndrome (dysmorphic),Broad,Other,Wholly attributable,180
2009/10,R78.0,Excess alcohol blood levels,Broad,Other,Wholly attributable,210
2009/10,X45,Accidental poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,180
2009/10,X65,Intentional self-poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,490
2009/10,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Broad,Other,Wholly attributable,30
2009/10,Y90,Evidence of alcohol involvement determined by blood alcohol level,Broad,Other,Wholly attributable,40
2009/10,Y91,Evidence of alcohol involvement determined by level of intoxication,Broad,Other,Wholly attributable,1240
2009/10,A15-A19,Tuberculosis,Broad,Infectious and parasitic diseases,Partly attributable chronic,1370
2009/10,C00-C14,"Lip, oral cavity and pharynx",Broad,Cancer,Partly attributable chronic,9410
2009/10,C15,Oesophagus,Broad,Cancer,Partly attributable chronic,21340
2009/10,"C18-C20, C21",Colorectal,Broad,Cancer,Partly attributable chronic,19690
2009/10,C22,Liver and intrahepatic bile ducts,Broad,Cancer,Partly attributable chronic,950
2009/10,C32,Larynx,Broad,Cancer,Partly attributable chronic,2050
2009/10,C50,Breast,Broad,Cancer,Partly attributable chronic,25700
2009/10,G40-G41,Epilepsy and Status epilepticus,Broad,Diseases of the nervous system,Partly attributable chronic,40990
