Category,Date of fail,Product description,Country of origin,Producer name,Test Applied,Reason for fail,Result/s,Units,Reference,Holding Order
Surveillance catergory food fails,3/10/2019,Honey clover,Serbia,Med-Honey Doo,Composition,Evidence of blended or artificial honey,21,%,FSC 2.8.2,15398
Surveillance catergory food fails,4/10/2019,Fresh sugar snap peas,China,Xiangyang Heli Agriculture Development Co Ltd,Fruit and vegetable residue screen,Thiamethoxam,0.1,mg/kg,FSC 1.4.2,15401
Surveillance catergory food fails,10/10/2019,Frozen pandan leaf,Thailand,"O-Cha Food Pack Co., Ltd (Thailand)",Fruit and vegetable residue screen,Difenoconazole,0.054,mg/kg,FSC 1.4.2,HO match
Surveillance catergory food fails,30/09/2019,Dried jumbo peaches,United States,California Fruit Basket,Fruit and vegetable residue screen,Cyprodinil,0.09,mg/kg,FSC 1.4.2,15407
Surveillance catergory food fails,2/10/2019,Fresh betel leaves,India,Fresh Jasmines Export And Import Pvt Ltd,Fruit and vegetable residue screen,"Triadimefon
Triadimenol
","0.058
0.058",mg/kg,FSC 1.4.2,15412
Surveillance catergory food fails,23/10/2019,Parval (pointed gourd),India,Innovative Cuisine,Fruit and vegetable residue screen,Dimethoate,0.022,mg/kg,FSC 1.4.2,15413
Surveillance catergory food fails,9/10/2019,Dried apricot fruit snack,South Africa,Pioneer Foods,Fruit and vegetable residue screen,Thiabendazole,0.031,mg/kg,FSC 1.4.2,15414
Surveillance catergory food fails,11/10/2019,Whole dates,China,Cangzhou Ruifeng Date Product Co Ltd,Fruit and vegetable residue screen,Carbendazim,0.07,mg/kg,FSC 1.4.2,HO match
Surveillance catergory food fails,15/10/2019,Spinach,India,Global Gourmet Pvt Ltd,Fruit and vegetable residue screen,Chlorpyrifos,0.068,mg/kg,FSC 1.4.2,15422
Surveillance catergory food fails,17/10/2019,Honey with white truffle,Italy,Poddi Tartufi Srl,Composition,Evidence of blended or artificial honey,12,%,FSC 2.8.2,15429
Surveillance catergory food fails,17/10/2019,Fresh grapes,United States,Jasmine Vineyards Incorporated,Fruit and vegetable residue screen,Propargite,2.7,mg/kg,FSC 1.4.2,15431
